Model	Type	Row	Area	AreaAbs	Pattern	TimeStep	TotalCAsize_3i	Neurons_Shared1	Neurons_Shared2	Neurons_Shared3
M01	pair33	1	1	1	P1	allts	23	259#217#542#31#548#229#616#434#439#189	197#6#584#11#276#87#567#444#510#319	600#422#427
M01	pair33	1	2	2	P1	allts	34	8#15#41#566#56#57#68#69#73#460#340#96#491#244	17#187#87#92	396#399#532#435#575#447#324#456#588#468#471#602#605#478#499#505
M01	pair33	1	3	3	P1	allts	31	391#142#304#188#585#89#98	7#217	271#527#402#532#405#408#550#430#572#448#323#455#593#484#613#494#497#500#373#502#506#255
M01	pair33	1	4	4	P1	allts	28	268#142#566#439#61#189#239		387#394#397#525#273#274#410#412#289#422#302#48#51#575#580#456#329#338#476#478#377
M01	pair33	1	5	5	P1	allts	33	6#155#288#65#211#339#114	269#559#314#190#575#207#240	524#527#21#409#422#424#297#428#45#431#307#317#331#338#229#359#624#507#379
M01	pair33	1	6	6	P1	allts	24	390#333#215#406#56#166#490#236#622#116#376#59	385#4#139#396#214#284#349#286#356#52#501	499
M01	pair33	2	1	7	P1	allts	1			354
M01	pair33	2	2	8	P1	allts	7			451#423#552#457#404#280#511
M01	pair33	2	3	9	P1	allts	11			452#524#276#546#296#360#304#501#375#505#378
M01	pair33	2	4	10	P1	allts	9			448#452#359#328#458#400#531#501#606
M01	pair33	2	5	11	P1	allts	7	580		483#549#398#303#472#378
M01	pair33	2	6	12	P1	allts	0	
M02	pair33	1	1	1	P1	allts	23	259#217#542#31#548#229#616#427#434#439#189	197#6#584#11#276#87#600#422#567#444#510#319	
M02	pair33	1	2	2	P1	allts	32	577#2#324#10#589#276#213#91#543#160#608#163#185#357#550#41#123#113#244#249	580#521#459#12#13#143#344#353#39#231#109#507	
M02	pair33	1	3	3	P1	allts	29	130#9#145#407#38#424#57#569#61#584#592#84#349#483#113#379	392#521#410#287#551#296#557#317#63#343#218#250	85
M02	pair33	1	4	4	P1	allts	27	8#152#287#454#330#336#337#233#110	384#261#402#531#280#156#29#159#288#291#294#550#186#317#215#112#381	359
M02	pair33	1	5	5	P1	allts	35	262#135#265#398#527#401#43#430#59#580#331#339#97#226#354#610#230#364#113#501	264#286#290#546#295#309#185#193#73#84#88#358#237#243	424
M02	pair33	1	6	6	P1	allts	24	390#333#406#56#166#490#236#622#116#376#59	385#4#139#396#214#215#284#349#286#356#499#52#501	
M02	pair33	2	1	7	P1	allts	0			
M02	pair33	2	2	8	P1	allts	10	357#209#433#309#85#279		512#418#438#440
M02	pair33	2	3	9	P1	allts	7	132	458#306#243#311	388#360
M02	pair33	2	4	10	P1	allts	7	117	292#293#187#282#315	188
M02	pair33	2	5	11	P1	allts	4		289	359#364#217
M02	pair33	2	6	12	P1	allts	0			
M02	pair33	1	1	1	P2	allts	24	323#5#390#454#331#80#466#221#165#569#570#61	134#591#341#479#544#487#231#556#177#435#117#318	
M02	pair33	1	2	2	P2	allts	31	578#390#11#335#82#19#466#534#95#223#37#38#422#492#237#304#177#61	67#453#456#392#588#406#215#548#103#427#556#564	439
M02	pair33	1	3	3	P2	allts	29	2#131#518#200#72#141#529#277#216#89#346#94#608#416#480#419#546#229#613#492#441	266#77#333#37#560#570#573#447	
M02	pair33	1	4	4	P2	allts	29	318#451#388#580#68#392#521#139#468#21#151#407#410#155#607#228#168#552#620#562#574	526#464#467#481#42#491#172#187	
M02	pair33	1	5	5	P2	allts	32	515#393#399#44#428#55#319#592#211#341#89#602#219#92#614#238#497#383	519#142#17#403#22#312#62#63#323#586#251#241#375#507	
M02	pair33	1	6	6	P2	allts	24	257#197#325#529#408#347#31#485#112#304#563#503	200#462#20#85#409#603#292#37#496#240#117#570	
M02	pair33	2	1	7	P2	allts	0			
M02	pair33	2	2	8	P2	allts	11	578#37#613#616#60#562#28	419#239#470#441	
M02	pair33	2	3	9	P2	allts	8	128#129#416#10#489#202#508	140	
M02	pair33	2	4	10	P2	allts	7	532#53#198#487#214#59	492	
M02	pair33	2	5	11	P2	allts	14	388#590	131#9#394#153#155#40#233#491#564#184	514#461
M02	pair33	2	6	12	P2	allts	0			
M02	pair33	1	1	1	P3	allts	24	514#579#519#209#279#416#481#620#46#49#243#52	257#137#523#467#404#535#58#425#42#489#312#250	
M02	pair33	1	2	2	P3	allts	23	594#341#86#375#545#482#293#425#301#246#572	517#327#266#158#224#359#300#380#442#187#60	382
M02	pair33	1	3	3	P3	allts	26	322#324#456#332#526#272#469#541#477#353#42#238#243#375#377	65#385#387#399#80#210#540#482#487#174	528
M02	pair33	1	4	4	P3	allts	24	72#141#270#273#469#471#420#553#170#428#619#239#499#373#126#383	320#264#587#345#414#235#566	304
M02	pair33	1	5	5	P3	allts	25	320#322#451#450#197#390#27#540#95#417#171#619#558#431#368#126	270#143#597#419#170#496#434#247#191	
M02	pair33	1	6	6	P3	allts	24	321#452#328#19#213#279#288#102#486#619#494#175	512#387#524#589#274#467#346#218#283#477#49#118	
M02	pair33	2	1	7	P3	allts	0			
M02	pair33	2	2	8	P3	allts	5	152#601#78	312#439	
M02	pair33	2	3	9	P3	allts	4	579#488#204	438	
M02	pair33	2	4	10	P3	allts	4	409#604	97#436	
M02	pair33	2	5	11	P3	allts	4	54#615#173	414	
M02	pair33	2	6	12	P3	allts	0			
