Model	Type	Row	Area	AreaAbs	Pattern	TimeStep	TotalCAsize	Neurons_Shared0	Neurons_Shared1	Neurons_Shared2	Neurons_Shared3
M01	pair33	1	1	1	P1	1	0				
M01	pair33	1	2	2	P1	1	0				
M01	pair33	1	3	3	P1	1	0				
M01	pair33	1	4	4	P1	1	0				
M01	pair33	1	5	5	P1	1	0				
M01	pair33	1	6	6	P1	1	0				
M01	pair33	2	1	7	P1	1	0				
M01	pair33	2	2	8	P1	1	0				
M01	pair33	2	3	9	P1	1	0				
M01	pair33	2	4	10	P1	1	0				
M01	pair33	2	5	11	P1	1	0				
M01	pair33	2	6	12	P1	1	0				
M01	pair33	1	1	1	P1	2	0				
M01	pair33	1	2	2	P1	2	0				
M01	pair33	1	3	3	P1	2	0				
M01	pair33	1	4	4	P1	2	0				
M01	pair33	1	5	5	P1	2	0				
M01	pair33	1	6	6	P1	2	0				
M01	pair33	2	1	7	P1	2	0				
M01	pair33	2	2	8	P1	2	3	625#283#135			
M01	pair33	2	3	9	P1	2	3	401#556#284			
M01	pair33	2	4	10	P1	2	4	481#403#284			448
M01	pair33	2	5	11	P1	2	5	321#356#73#396#81			
M01	pair33	2	6	12	P1	2	0				
M01	pair33	1	1	1	P1	3	0				
M01	pair33	1	2	2	P1	3	0				
M01	pair33	1	3	3	P1	3	14	384#260#233#624#404#309#505#285			550#430#402#405#408#255
M01	pair33	1	4	4	P1	3	10	457#430#335#406#413			289#387#525#338#377
M01	pair33	1	5	5	P1	3	0				
M01	pair33	1	6	6	P1	3	0				
M01	pair33	2	1	7	P1	3	0				
M01	pair33	2	2	8	P1	3	5	454#135#169#625#283			
M01	pair33	2	3	9	P1	3	3	401#556#284			
M01	pair33	2	4	10	P1	3	6	481#403#311#284#382			448
M01	pair33	2	5	11	P1	3	5	321#73#396#81#311			
M01	pair33	2	6	12	P1	3	0				
M01	pair33	1	1	1	P1	4	10		259#229#434#31	6#319#567#510	422#427
M01	pair33	1	2	2	P1	4	13	486#359#332#304#340#283#413#351	56		324#505#602#478
M01	pair33	1	3	3	P1	4	12	384#233#364#624#404#505#285			550#430#402#405#408
M01	pair33	1	4	4	P1	4	9	335#406#413			289#387#525#338#377#478
M01	pair33	1	5	5	P1	4	25	384#257#285#415#584#330#458#603#358#360#108#239#503	288#207#238#114	422#314#240	431#317#331#338#359
M01	pair33	1	6	6	P1	4	15		490#333#215#376#406#59	385#4#139#501#214#284#349#286	499
M01	pair33	2	1	7	P1	4	0				
M01	pair33	2	2	8	P1	4	4	625#283#454#135			
M01	pair33	2	3	9	P1	4	3	401#556#284			
M01	pair33	2	4	10	P1	4	6	481#403#311#284#382			448
M01	pair33	2	5	11	P1	4	2	81#311			
M01	pair33	2	6	12	P1	4	1	252			
M01	pair33	1	1	1	P1	5	7		259#31	319#6#567#510	427
M01	pair33	1	2	2	P1	5	13	482#359#413	8#56	187	478#435#532#505#602#605#447
M01	pair33	1	3	3	P1	5	12	384#233#364#624#404#505#285			550#430#402#405#408
M01	pair33	1	4	4	P1	5	9	335#406#413			289#387#525#338#377#478
M01	pair33	1	5	5	P1	5	24	415#330#360#108#239	288#207#238#114	289#422#314#240#507	527#409#428#431#307#317#331#338#359#379
M01	pair33	1	6	6	P1	5	11		490#333#215#406	139#501#214#284#349#286	499
M01	pair33	2	1	7	P1	5	0				
M01	pair33	2	2	8	P1	5	2	283#454			
M01	pair33	2	3	9	P1	5	6	353#355#556#401#403#284			
M01	pair33	2	4	10	P1	5	4	481#382#311			448
M01	pair33	2	5	11	P1	5	3	81#330#311			
M01	pair33	2	6	12	P1	5	1	252			
M01	pair33	1	1	1	P1	6	6		259#31	319#6#510	427
M01	pair33	1	2	2	P1	6	13	482#359#413	8#56	187	478#435#532#505#602#605#447
M01	pair33	1	3	3	P1	6	14	384#233#364#624#404#505#285			613#550#430#402#405#408#255
M01	pair33	1	4	4	P1	6	10	335#406#379#413			289#387#525#338#377#478
M01	pair33	1	5	5	P1	6	21	330#360#108#239	207#238#114	289#314#240#507	527#409#428#431#307#317#331#338#359#379
M01	pair33	1	6	6	P1	6	11		490#333#215#406	139#501#214#284#349#286	499
M01	pair33	2	1	7	P1	6	0				
M01	pair33	2	2	8	P1	6	2	283#454			
M01	pair33	2	3	9	P1	6	6	353#355#556#401#403#284			
M01	pair33	2	4	10	P1	6	4	481#382#311			448
M01	pair33	2	5	11	P1	6	3	81#330#311			
M01	pair33	2	6	12	P1	6	1	252			
M01	pair33	1	1	1	P1	7	8		259#31	319#6#11#510	427#600
M01	pair33	1	2	2	P1	7	13	353#482#359#413	8	187	478#435#532#505#602#605#447
M01	pair33	1	3	3	P1	7	14	384#233#364#624#404#505#285			613#550#430#402#405#408#255
M01	pair33	1	4	4	P1	7	10	335#406#379#413			289#387#525#338#377#478
M01	pair33	1	5	5	P1	7	17	360#330#239	207	289#240#314#507	359#331#428#338#307#431#379#409#317
M01	pair33	1	6	6	P1	7	11		490#333#215#406	356#139#501#214#284#286	499
M01	pair33	2	1	7	P1	7	0				
M01	pair33	2	2	8	P1	7	3	350#283#454			
M01	pair33	2	3	9	P1	7	6	353#355#556#401#403#284			
M01	pair33	2	4	10	P1	7	4	481#382#311			448
M01	pair33	2	5	11	P1	7	4	81#330#324#311			
M01	pair33	2	6	12	P1	7	3	354#252#362			
M01	pair33	1	1	1	P1	8	8		259#31	319#6#11#510	427#600
M01	pair33	1	2	2	P1	8	13	353#482#359#413	8	187	478#435#532#505#602#605#447
M01	pair33	1	3	3	P1	8	12	384#233#364#404#505#285			613#550#430#402#405#408
M01	pair33	1	4	4	P1	8	10	335#406#379#413			289#387#525#338#377#478
M01	pair33	1	5	5	P1	8	17	360#330#239	207	289#240#314#507	359#331#428#338#307#431#379#409#317
M01	pair33	1	6	6	P1	8	10		490#333#215#406	139#501#214#284#286	499
M01	pair33	2	1	7	P1	8	0				
M01	pair33	2	2	8	P1	8	3	350#283#454			
M01	pair33	2	3	9	P1	8	6	353#355#556#401#403#284			
M01	pair33	2	4	10	P1	8	4	481#382#311			448
M01	pair33	2	5	11	P1	8	3	330#324#311			
M01	pair33	2	6	12	P1	8	1	354			
M01	pair33	1	1	1	P1	9	4		259	510	600#427
M01	pair33	1	2	2	P1	9	10	353#482#359#413			478#532#505#602#605#447
M01	pair33	1	3	3	P1	9	11	384#233#364#404#505#285			550#430#402#405#408
M01	pair33	1	4	4	P1	9	10	335#406#379#413			289#387#525#338#377#478
M01	pair33	1	5	5	P1	9	16	360#330#239		289#240#314#507	359#331#428#431#338#307#379#409#317
M01	pair33	1	6	6	P1	9	8		490#406	139#501#214#284#286	499
M01	pair33	2	1	7	P1	9	0				
M01	pair33	2	2	8	P1	9	3	353#330#350			
M01	pair33	2	3	9	P1	9	7	353#355#556#401#403#278#284			
M01	pair33	2	4	10	P1	9	5	481#311#349#382			448
M01	pair33	2	5	11	P1	9	2	330#324			
M01	pair33	2	6	12	P1	9	1	354			
M01	pair33	1	1	1	P1	10	4		259	510	600#427
M01	pair33	1	2	2	P1	10	8	353#482#359#413			532#505#602#447
M01	pair33	1	3	3	P1	10	11	384#233#364#404#505#285			550#430#402#405#408
M01	pair33	1	4	4	P1	10	10	335#406#379#413			289#387#525#338#377#478
M01	pair33	1	5	5	P1	10	13	360#330#239		507	359#331#428#431#338#307#379#409#317
M01	pair33	1	6	6	P1	10	5		490#406	284#286	499
M01	pair33	2	1	7	P1	10	0				
M01	pair33	2	2	8	P1	10	3	353#330#350			
M01	pair33	2	3	9	P1	10	7	353#355#556#401#403#278#284			
M01	pair33	2	4	10	P1	10	5	481#311#349#382			448
M01	pair33	2	5	11	P1	10	2	330#324			
M01	pair33	2	6	12	P1	10	1	354			
M01	pair33	1	1	1	P1	11	3		259	510	427
M01	pair33	1	2	2	P1	11	8	353#482#359#413			532#505#602#447
M01	pair33	1	3	3	P1	11	11	384#233#364#404#505#285			550#430#402#405#408
M01	pair33	1	4	4	P1	11	10	335#406#379#413			289#387#525#338#377#478
M01	pair33	1	5	5	P1	11	7				359#331#428#431#338#307#409
M01	pair33	1	6	6	P1	11	4		490#406	284#286	
M01	pair33	2	1	7	P1	11	0				
M01	pair33	2	2	8	P1	11	2	330#350			
M01	pair33	2	3	9	P1	11	6	353#355#556#401#403#284			
M01	pair33	2	4	10	P1	11	5	481#311#349#382			448
M01	pair33	2	5	11	P1	11	2	330#324			
M01	pair33	2	6	12	P1	11	1	354			
M01	pair33	1	1	1	P1	12	3		259	510	427
M01	pair33	1	2	2	P1	12	8	353#482#359#413			532#505#602#447
M01	pair33	1	3	3	P1	12	11	384#233#364#404#505#285	304		430#402#405#408
M01	pair33	1	4	4	P1	12	10	335#406#379#413			289#387#525#338#377#478
M01	pair33	1	5	5	P1	12	7				359#331#428#431#338#307#409
M01	pair33	1	6	6	P1	12	4		490#406	284#286	
M01	pair33	2	1	7	P1	12	1	433			
M01	pair33	2	2	8	P1	12	1	350			
M01	pair33	2	3	9	P1	12	6	353#355#556#401#403#284			
M01	pair33	2	4	10	P1	12	5	481#311#349#382			448
M01	pair33	2	5	11	P1	12	2	330#324			
M01	pair33	2	6	12	P1	12	1	354			
M01	pair33	1	1	1	P1	13	1				427
M01	pair33	1	2	2	P1	13	9	353#482#359#305#413			532#505#602#447
M01	pair33	1	3	3	P1	13	11	384#233#364#404#505#285	304		430#402#405#408
M01	pair33	1	4	4	P1	13	10	335#406#379#413			289#387#525#338#377#478
M01	pair33	1	5	5	P1	13	7				359#331#428#431#338#307#409
M01	pair33	1	6	6	P1	13	3		406	284#286	
M01	pair33	2	1	7	P1	13	1	433			
M01	pair33	2	2	8	P1	13	1	350			
M01	pair33	2	3	9	P1	13	7	353#355#330#556#401#403#284			
M01	pair33	2	4	10	P1	13	4	481#349#382			448
M01	pair33	2	5	11	P1	13	3	330#284#386			
M01	pair33	2	6	12	P1	13	1	354			
M01	pair33	1	1	1	P1	14	1				427
M01	pair33	1	2	2	P1	14	6	353#482#359#305			505#447
M01	pair33	1	3	3	P1	14	11	384#233#364#404#505#285	304		430#402#405#408
M01	pair33	1	4	4	P1	14	9	335#406#379			289#387#329#525#377#478
M01	pair33	1	5	5	P1	14	6				359#331#428#338#307#409
M01	pair33	1	6	6	P1	14	3		406	284#286	
M01	pair33	2	1	7	P1	14	1	433			
M01	pair33	2	2	8	P1	14	2	428#350			
M01	pair33	2	3	9	P1	14	6	353#355#556#401#403#284			
M01	pair33	2	4	10	P1	14	2	481			448
M01	pair33	2	5	11	P1	14	4	457#330#284#386			
M01	pair33	2	6	12	P1	14	1	354			
M01	pair33	1	1	1	P1	15	1				427
M01	pair33	1	2	2	P1	15	4	305#482#359			505
M01	pair33	1	3	3	P1	15	9	384#364#404#505#285	304		430#402#405
M01	pair33	1	4	4	P1	15	11	335#401#406#379			289#387#329#525#302#377#478
M01	pair33	1	5	5	P1	15	6				359#331#428#338#307#409
M01	pair33	1	6	6	P1	15	3		406	284#286	
M01	pair33	2	1	7	P1	15	1	433			
M01	pair33	2	2	8	P1	15	2	428#350			
M01	pair33	2	3	9	P1	15	6	353#355#556#401#403#284			
M01	pair33	2	4	10	P1	15	2	481			448
M01	pair33	2	5	11	P1	15	4	457#330#284#386			
M01	pair33	2	6	12	P1	15	1	354			
M01	pair33	1	1	1	P1	16	1				427
M01	pair33	1	2	2	P1	16	4	305#482#359			505
M01	pair33	1	3	3	P1	16	9	384#364#404#505#285	304		430#402#405
M01	pair33	1	4	4	P1	16	11	335#401#406#379			289#387#329#525#302#377#478
M01	pair33	1	5	5	P1	16	5				359#331#428#307#409
M01	pair33	1	6	6	P1	16	3		406	284#286	
M01	pair33	2	1	7	P1	16	1	433			
M01	pair33	2	2	8	P1	16	2	428#350			
M01	pair33	2	3	9	P1	16	7	353#355#358#427#525#403#284			
M01	pair33	2	4	10	P1	16	2	403			448
M01	pair33	2	5	11	P1	16	4	457#330#284#386			
M01	pair33	2	6	12	P1	16	1	354			
M01	pair33	1	1	1	P1	17	1				427
M01	pair33	1	2	2	P1	17	4	305#482#359			505
M01	pair33	1	3	3	P1	17	7	384#404#505	304		430#402#405
M01	pair33	1	4	4	P1	17	11	335#401#406#379			289#387#329#525#302#377#478
M01	pair33	1	5	5	P1	17	5				359#331#428#307#409
M01	pair33	1	6	6	P1	17	3		406	284#286	
M01	pair33	2	1	7	P1	17	1	433			
